,candidatura,nombre,nombre_completo,numero,partido,siglas,suplente
57,1,Maria, María Pino Vega Romero.,4,INICIATIVA FEMINISTA (I.Fem),I.Fem,True
58,1,Edgar, Edgar Miguel Hernández Talavera.,5,INICIATIVA FEMINISTA (I.Fem),I.Fem,True
59,1,Maria, María del Carmen Velasco Egido.,6,INICIATIVA FEMINISTA (I.Fem),I.Fem,True
60,1,Maria, María Luisa Salvador Vicente.,7,INICIATIVA FEMINISTA (I.Fem),I.Fem,True
61,1,Maria, María del Carmen Garcerá Marco.,8,INICIATIVA FEMINISTA (I.Fem),I.Fem,True
62,1,Juan, Juan Rafael Hierro Rivero.,9,INICIATIVA FEMINISTA (I.Fem),I.Fem,True
63,1,Manuel, Manuel Javier Castro Fernández.,10,INICIATIVA FEMINISTA (I.Fem),I.Fem,True
64,2,Elena, Elena Valenciano Martínez-Orozco.,1,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
65,2,Ramon, Ramón Jáuregui Atondo.,2,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
66,2,Soledad, Soledad Cabezón Ruiz.,3,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
67,2,Juan, Juan Fernando López Aguilar.,4,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
68,2,Iratxe, Iratxe García Pérez.,5,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
69,2,Javier, Javier López Fernández.,6,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
70,2,Inmaculada, Inmaculada Rodríguez-Piñero Fernández.,7,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
71,2,Enrique, Enrique Guerrero Salom.,8,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
72,2,Eider, Eider Gardiazábal Rubial.,9,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
73,2,Jose, José Blanco López.,10,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
74,2,Clara, Clara Eugenia Aguilera García.,11,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
75,2,Sergio, Sergio Gutiérrez Prieto.,12,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
76,2,Ines, Inés Ayala Sender.,13,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
77,2,Jonas, Jonás Fernández Álvarez.,14,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
78,2,Esther, Esther Niubó Cidoncha.,15,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
79,2,Borja, Borja Cabezón Royo.,16,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
80,2,Maria, María del Carmen Ortiz Rivas.,17,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
81,2,Ricardo, Ricardo Cortés Lastra.,18,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
82,2,Maria, María Begoña García Bernal.,19,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
83,2,Pere, Pere Joan Pons Sampietro.,20,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
84,2,Maria, María Paloma Muñiz de Urquiza.,21,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
85,2,Juan, Juan Ramón Ferreira Alonso.,22,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
86,2,Isabel, Isabel Casalduero Jódar.,23,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
87,2,Alejandro, Alejandro Colldefors Bergnes de las Casas.,24,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
88,2,Rosa, Rosa María Balas Torres.,25,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
89,2,Jose, José Manuel Domínguez López.,26,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
90,2,Concepcion, Concepción Andreu Rodríguez.,27,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
91,2,Alfonso, Alfonso Carlos Mateo Miranda.,28,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
92,2,Izaskun, Izaskun Bernal Cerdeira.,29,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
93,2,Mohammed, Mohammed Azahaf Moumen.,30,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
94,2,Maria, María Paz Ojeda Giménez.,31,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
95,2,Samuel, Samuel Falomir Sancho.,32,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
96,2,Angela, Ángela Sabater García.,33,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
97,2,Sergio, Sergio Chueca Urzay.,34,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
