,name,name_decoded,gender
195,Ernest,Ernest,-1.0
196,Elisabet,Elisabet,1.0
197,Marie,Marie,1.0
198,Andreu,Andreu,-1.0
199,Magda,Magda,1.0
200,Eloïsa,Eloisa,1.0
201,Bernat,Bernat,-1.0
202,Àlex,Alex,-1.0
203,Queti,Queti,1.0
204,Margalida,Margalida,1.0
205,Eusebi,Eusebi,-1.0
206,Elvira,Elvira,1.0
207,Montserrat,Montserrat,1.0
208,Núria,Nuria,1.0
209,Carme,Carme,1.0
210,Vicent,Vicent,-1.0
211,Estel,Estel,-1.0
212,Ann,Ann,1.0
213,Èric,Eric,-1.0
214,Lluís,Lluis,-1.0
215,Teresa,Teresa,1.0
216,Ignasi,Ignasi,-1.0
217,Adelina,Adelina,1.0
218,Antoni,Antoni,-1.0
219,Immaculada,Immaculada,1.0
220,Xènia,Xenia,1.0
221,Carles,Carles,-1.0
222,Pau,Pau,-1.0
223,Roger,Roger,-1.0
224,Roberto,Roberto,-1.0
225,Alvaro,Alvaro,-1.0
226,Nuria,Nuria,1.0
227,Trinidad,Trinidad,1.0
228,Sonia,Sonia,1.0
229,Sadat,Sadat,-1.0
230,Angeles,Angeles,1.0
231,César,Cesar,-1.0
232,Luís,Luis,-1.0
233,Sean,Sean,-1.0
234,Anna,Anna,1.0
235,Ruben,Ruben,-1.0
236,Tomasa,Tomasa,1.0
237,Rosalía,Rosalia,1.0
238,Telmo,Telmo,-1.0
239,Ginés,Gines,-1.0
240,Belén,Belen,1.0
241,Adolfo,Adolfo,-1.0
242,Urko,Urko,-1.0
243,Gerardo,Gerardo,-1.0
244,Santos,Santos,-1.0
245,Sonsoles,Sonsoles,1.0
246,Myriam,Myriam,1.0
247,Arturo,Arturo,-1.0
248,Angel,Angel,-1.0
249,Macarena,Macarena,1.0
250,Ruth,Ruth,1.0
251,Divina,Divina,1.0
252,Mercedes,Mercedes,1.0
253,Marcelo,Marcelo,-1.0
254,Oscar,Oscar,-1.0
255,Violeta,Violeta,1.0
256,Jose,Jose,-1.0
257,Esperanza,Esperanza,1.0
258,Angustias,Angustias,1.0
259,Adrián,Adrian,-1.0
260,Bibiana,Bibiana,1.0
261,Ruperto,Ruperto,-1.0
262,Pascuala,Pascuala,1.0
263,Máximo,Maximo,-1.0
264,Wenceslao,Wenceslao,-1.0
265,Rubén,Ruben,-1.0
266,Florent,Florent,-1.0
267,Reyes,Reyes,-1.0
268,Loles,Loles,1.0
269,Guillermo,Guillermo,-1.0
270,Mariano,Mariano,-1.0
271,Paula,Paula,1.0
272,Mohamed,Mohamed,-1.0
273,Julià,Julia,1.0
274,Joana,Joana,1.0
275,Chusé,Chuse,-1.0
276,Nikolina,Nikolina,1.0
277,Reis,Reis,-1.0
278,Mateo,Mateo,-1.0
279,Moraia,Moraia,1.0
280,Albert,Albert,-1.0
281,Máxima,Maxima,1.0
282,Natividad,Natividad,1.0
283,Cándido,Candido,-1.0
284,Leonor,Leonor,1.0
285,Rodrigo,Rodrigo,-1.0
286,Tomás,Tomas,-1.0
287,Agapito,Agapito,-1.0
288,Ismael,Ismael,-1.0
289,Juliana,Juliana,1.0
290,Pascual,Pascual,-1.0
291,Gloria,Gloria,1.0
292,Victorino,Victorino,-1.0
293,Olaia,Olaia,1.0
294,Rogelio,Rogelio,-1.0
295,Francisca,Francisca,1.0
296,Gustavo,Gustavo,-1.0
297,Hipólita,Hipolita,1.0
298,Rebeca,Rebeca,1.0
299,Paloma,Paloma,1.0
300,Florisabel,Florisabel,1.0
301,Alejo,Alejo,-1.0
302,Ariadna,Ariadna,1.0
303,Mazaly,Mazaly,1.0
304,Günther,Gunther,-1.0
305,Aurora,Aurora,1.0
306,Gonzalo,Gonzalo,-1.0
307,Lucía,Lucia,1.0
308,Alfredo,Alfredo,-1.0
309,Matilde,Matilde,1.0
310,Gelu,Gelu,-1.0
311,Roxana,Roxana,1.0
312,Roald,Roald,-1.0
313,Israel,Israel,-1.0
314,Diego,Diego,-1.0
315,Sebastià,Sebastia,-1.0
316,Miguela,Miguela,1.0
317,Marcelino,Marcelino,-1.0
318,Guadalupe,Guadalupe,1.0
319,Julieta,Julieta,1.0
320,Norberto,Norberto,-1.0
321,Josefa,Josefa,1.0
322,Marcos,Marcos,-1.0
323,Florentina,Florentina,1.0
324,Jairo,Jairo,-1.0
325,Fermín,Fermin,-1.0
326,Amada,Amada,1.0
327,Jesusa,Jesusa,1.0
328,Manuela,Manuela,1.0
329,Carmelo,Carmelo,-1.0
330,Blanca,Blanca,1.0
331,Ástor,Astor,-1.0
332,Emma,Emma,1.0
333,Ferràn,Ferran,-1.0
334,Saul,Saul,-1.0
335,Vanesa,Vanesa,1.0
336,Doménec,Domenec,-1.0
337,Alejandra,Alejandra,1.0
338,Eloy,Eloy,-1.0
339,Quim,Quim,-1.0
340,Elisa,Elisa,1.0
341,Cristóbal,Cristobal,-1.0
342,Hervé,Herve,-1.0
343,Simona,Simona,1.0
344,Nieves,Nieves,1.0
345,Pastora,Pastora,1.0
346,Bárbara,Barbara,1.0
347,Florencio,Florencio,-1.0
348,Murielle,Murielle,1.0
349,Armando,Armando,-1.0
350,Tamara,Tamara,1.0
351,Benita,Benita,1.0
352,Jonatan,Jonatan,-1.0
353,Lidia,Lidia,1.0
354,Gonzálo,Gonzalo,-1.0
355,Cristobal,Cristobal,-1.0
356,Elizabet,Elizabet,1.0
357,Almudena,Almudena,1.0
358,Enma,Enma,1.0
359,Román,Roman,-1.0
360,Gregoria,Gregoria,1.0
361,Lorenzo,Lorenzo,-1.0
362,Domingo,Domingo,-1.0
363,Fabiola,Fabiola,1.0
364,Juventino,Juventino,-1.0
365,Emiliano,Emiliano,-1.0
366,Iris,Iris,1.0
367,Luisa,Luisa,1.0
368,Gemma,Gemma,1.0
369,Arcadio,Arcadio,-1.0
370,Porfirio,Porfirio,-1.0
371,Willy,Willy,-1.0
372,Anastasio,Anastasio,-1.0
373,Lara,Lara,1.0
374,Eberhard,Eberhard,-1.0
375,Adoración,Adoracion,1.0
376,Iñigo,Inigo,-1.0
377,Mar,Mar,1.0
378,Martín,Martin,-1.0
379,Honorio,Honorio,-1.0
380,Eugènia,Eugenia,1.0
381,Sainza,Sainza,1.0
382,Leire,Leire,1.0
383,Asensio,Asensio,-1.0
384,Granada,Granada,1.0
385,Iosu,Iosu,-1.0
386,Xosé,Xose,-1.0
387,Maite,Maite,1.0
388,Olalla,Olalla,1.0
389,Igor,Igor,-1.0
390,Xesús,Xesus,-1.0
391,Iria,Iria,1.0
392,Dulce,Dulce,1.0
393,Valentín,Valentin,-1.0
394,Mikeldi,Mikeldi,-1.0
395,Asun,Asun,1.0
396,Noa,Noa,1.0
397,Orlando,Orlando,-1.0
398,Arturu,Arturu,-1.0
399,Aminetou,Aminetou,1.0
400,Justo,Justo,-1.0
401,Iago,Iago,-1.0
402,Aitziber,Aitziber,1.0
403,Camilo,Camilo,-1.0
404,Iraide,Iraide,1.0
405,Pello,Pello,-1.0
406,Elorri,Elorri,1.0
407,Ikoitz,Ikoitz,-1.0
408,Garazi,Garazi,1.0
409,Asier,Asier,-1.0
410,Irati,Irati,1.0
411,Lois,Lois,1.0
412,Davinia,Davinia,1.0
413,Txema,Txema,-1.0
414,Xicu-Xabel,Xicu-Xabel,-1.0
